pizza_id,order_id,Total orders,pizza_name_id,quantity,order_date,Days,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
11,6,0.5,bbq_ckn_s,1,01-01-2015,Thu,12:29:36,12.75,12.75,Regular,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
12,6,0.5,the_greek_s,1,01-01-2015,Thu,12:29:36,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
13,7,1,spinach_supr_s,1,01-01-2015,Thu,12:50:37,12.5,12.5,Regular,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza
14,8,1,spinach_supr_s,1,01-01-2015,Thu,12:51:37,12.5,12.5,Regular,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza
15,9,0.111111111,classic_dlx_s,1,01-01-2015,Thu,12:52:01,12,12,Regular,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
16,9,0.111111111,green_garden_s,1,01-01-2015,Thu,12:52:01,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
17,9,0.111111111,ital_cpcllo_l,1,01-01-2015,Thu,12:52:01,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
18,9,0.111111111,ital_supr_l,1,01-01-2015,Thu,12:52:01,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
19,9,0.111111111,ital_supr_s,1,01-01-2015,Thu,12:52:01,12.5,12.5,Regular,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
20,9,0.111111111,mexicana_s,1,01-01-2015,Thu,12:52:01,12,12,Regular,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
21,9,0.111111111,spicy_ital_l,1,01-01-2015,Thu,12:52:01,20.75,20.75,Large,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
22,9,0.111111111,spin_pesto_l,1,01-01-2015,Thu,12:52:01,20.75,20.75,Large,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza
23,9,0.111111111,veggie_veg_s,1,01-01-2015,Thu,12:52:01,12,12,Regular,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza
24,10,0.5,mexicana_l,1,01-01-2015,Thu,13:00:15,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
25,10,0.5,southw_ckn_l,1,01-01-2015,Thu,13:00:15,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
26,11,0.25,bbq_ckn_l,1,01-01-2015,Thu,13:02:59,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
27,11,0.25,cali_ckn_l,1,01-01-2015,Thu,13:02:59,20.75,20.75,Large,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
28,11,0.25,cali_ckn_m,1,01-01-2015,Thu,13:02:59,16.75,16.75,Medium,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
29,11,0.25,pepperoni_l,1,01-01-2015,Thu,13:02:59,15.25,15.25,Large,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
30,12,0.25,cali_ckn_l,1,01-01-2015,Thu,13:04:41,20.75,20.75,Large,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
31,12,0.25,cali_ckn_s,1,01-01-2015,Thu,13:04:41,12.75,12.75,Regular,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
32,12,0.25,ckn_pesto_l,1,01-01-2015,Thu,13:04:41,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
33,12,0.25,ital_supr_m,1,01-01-2015,Thu,13:04:41,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
34,13,1,mexicana_l,1,01-01-2015,Thu,13:11:55,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
35,14,1,the_greek_s,1,01-01-2015,Thu,13:14:19,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
36,15,0.25,big_meat_s,1,01-01-2015,Thu,13:33:00,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
37,15,0.25,five_cheese_l,1,01-01-2015,Thu,13:33:00,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
38,15,0.25,soppressata_l,1,01-01-2015,Thu,13:33:00,20.75,20.75,Large,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",The Soppressata Pizza
39,15,0.25,the_greek_s,1,01-01-2015,Thu,13:33:00,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
40,16,0.333333333,four_cheese_l,1,01-01-2015,Thu,13:34:07,17.95,17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
41,16,0.333333333,napolitana_s,1,01-01-2015,Thu,13:34:07,12,12,Regular,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza
42,16,0.333333333,thai_ckn_l,1,01-01-2015,Thu,13:34:07,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
43,17,0.1,bbq_ckn_l,1,01-01-2015,Thu,13:53:00,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
44,17,0.1,calabrese_m,1,01-01-2015,Thu,13:53:00,16.25,16.25,Medium,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
45,17,0.1,five_cheese_l,1,01-01-2015,Thu,13:53:00,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
46,17,0.1,four_cheese_m,1,01-01-2015,Thu,13:53:00,14.75,14.75,Medium,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
47,17,0.1,ital_supr_m,1,01-01-2015,Thu,13:53:00,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
48,17,0.1,ital_veggie_s,1,01-01-2015,Thu,13:53:00,12.75,12.75,Regular,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza
49,17,0.1,mediterraneo_m,2,01-01-2015,Thu,13:53:00,16,32,Medium,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",The Mediterranean Pizza
50,17,0.1,mexicana_l,1,01-01-2015,Thu,13:53:00,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
51,17,0.1,peppr_salami_s,1,01-01-2015,Thu,13:53:00,12.5,12.5,Regular,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
52,17,0.1,spinach_fet_l,1,01-01-2015,Thu,13:53:00,20.25,20.25,Large,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
53,18,1,napolitana_l,1,01-01-2015,Thu,13:57:08,20.5,20.5,Large,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza
54,19,0.5,ital_cpcllo_l,1,01-01-2015,Thu,13:59:09,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
55,19,0.5,sicilian_l,1,01-01-2015,Thu,13:59:09,20.25,20.25,Large,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
56,20,0.5,big_meat_s,1,01-01-2015,Thu,14:03:08,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
57,20,0.5,five_cheese_l,1,01-01-2015,Thu,14:03:08,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
58,21,1,ital_cpcllo_l,1,01-01-2015,Thu,14:14:29,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
59,22,0.333333333,five_cheese_l,1,01-01-2015,Thu,14:16:26,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
60,22,0.333333333,ital_cpcllo_m,1,01-01-2015,Thu,14:16:26,16,16,Medium,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
61,22,0.333333333,southw_ckn_l,1,01-01-2015,Thu,14:16:26,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
62,23,1,southw_ckn_s,1,01-01-2015,Thu,14:19:03,12.75,12.75,Regular,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
63,24,0.25,bbq_ckn_m,1,01-01-2015,Thu,14:23:01,16.75,16.75,Medium,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
64,24,0.25,ital_cpcllo_m,1,01-01-2015,Thu,14:23:01,16,16,Medium,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
65,24,0.25,pepperoni_m,1,01-01-2015,Thu,14:23:01,12.5,12.5,Medium,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
66,24,0.25,prsc_argla_s,1,01-01-2015,Thu,14:23:01,12.5,12.5,Regular,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
67,25,0.5,sicilian_m,1,01-01-2015,Thu,14:44:44,16.25,16.25,Medium,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
68,25,0.5,thai_ckn_l,1,01-01-2015,Thu,14:44:44,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
69,26,0.5,classic_dlx_s,1,01-01-2015,Thu,14:54:26,12,12,Regular,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
70,26,0.5,veggie_veg_l,1,01-01-2015,Thu,14:54:26,20.25,20.25,Large,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza
71,27,0.333333333,bbq_ckn_l,1,01-01-2015,Thu,15:11:17,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
72,27,0.333333333,classic_dlx_m,1,01-01-2015,Thu,15:11:17,16,16,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
73,27,0.333333333,spinach_fet_l,1,01-01-2015,Thu,15:11:17,20.25,20.25,Large,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
74,28,1,ckn_alfredo_s,1,01-01-2015,Thu,15:35:46,12.75,12.75,Regular,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza
75,29,1,green_garden_s,1,01-01-2015,Thu,15:41:01,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
76,30,1,thai_ckn_l,1,01-01-2015,Thu,15:41:25,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
77,31,0.5,mexicana_m,1,01-01-2015,Thu,15:50:18,16,16,Medium,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
78,31,0.5,pepperoni_s,1,01-01-2015,Thu,15:50:18,9.75,9.75,Regular,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
79,32,0.25,big_meat_s,1,01-01-2015,Thu,15:53:18,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
80,32,0.25,green_garden_l,1,01-01-2015,Thu,15:53:18,20.25,20.25,Large,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
81,32,0.25,ital_cpcllo_l,1,01-01-2015,Thu,15:53:18,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
82,32,0.25,ital_supr_m,1,01-01-2015,Thu,15:53:18,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
83,33,0.5,bbq_ckn_l,1,01-01-2015,Thu,15:54:08,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
84,33,0.5,green_garden_s,1,01-01-2015,Thu,15:54:08,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
85,34,1,the_greek_s,1,01-01-2015,Thu,16:21:21,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
86,35,0.25,green_garden_m,1,01-01-2015,Thu,16:32:04,16,16,Medium,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
87,35,0.25,pep_msh_pep_l,1,01-01-2015,Thu,16:32:04,17.5,17.5,Large,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
88,35,0.25,pepperoni_m,1,01-01-2015,Thu,16:32:04,12.5,12.5,Medium,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
89,35,0.25,thai_ckn_l,1,01-01-2015,Thu,16:32:04,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
90,36,0.5,bbq_ckn_m,1,01-01-2015,Thu,16:54:09,16.75,16.75,Medium,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
91,36,0.5,classic_dlx_m,1,01-01-2015,Thu,16:54:09,16,16,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
92,37,0.5,ital_supr_l,1,01-01-2015,Thu,16:56:09,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
93,37,0.5,mexicana_l,1,01-01-2015,Thu,16:56:09,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
94,38,0.5,hawaiian_s,1,01-01-2015,Thu,17:03:00,10.5,10.5,Regular,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
95,38,0.5,ital_cpcllo_l,1,01-01-2015,Thu,17:03:00,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
96,39,1,ital_supr_l,1,01-01-2015,Thu,17:07:23,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
97,40,0.5,four_cheese_l,1,01-01-2015,Thu,17:14:36,17.95,17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
98,40,0.5,southw_ckn_s,1,01-01-2015,Thu,17:14:36,12.75,12.75,Regular,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
99,41,0.5,four_cheese_m,1,01-01-2015,Thu,17:15:20,14.75,14.75,Medium,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
100,41,0.5,green_garden_s,1,01-01-2015,Thu,17:15:20,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
101,42,0.25,big_meat_s,1,01-01-2015,Thu,17:28:09,12,12,Regular,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
102,42,0.25,five_cheese_l,1,01-01-2015,Thu,17:28:09,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
103,42,0.25,mexicana_l,1,01-01-2015,Thu,17:28:09,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
104,42,0.25,peppr_salami_m,1,01-01-2015,Thu,17:28:09,16.5,16.5,Medium,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
105,43,0.333333333,ckn_alfredo_m,1,01-01-2015,Thu,17:38:34,16.75,16.75,Medium,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza
106,43,0.333333333,ital_supr_m,1,01-01-2015,Thu,17:38:34,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
107,43,0.333333333,peppr_salami_l,1,01-01-2015,Thu,17:38:34,20.75,20.75,Large,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
108,44,1,spin_pesto_s,1,01-01-2015,Thu,17:54:20,12.5,12.5,Regular,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza
109,45,0.333333333,four_cheese_l,1,01-01-2015,Thu,17:55:48,17.95,17.95,Large,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
110,45,0.333333333,hawaiian_s,1,01-01-2015,Thu,17:55:48,10.5,10.5,Regular,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
111,45,0.333333333,thai_ckn_m,1,01-01-2015,Thu,17:55:48,16.75,16.75,Medium,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
112,46,0.333333333,ckn_pesto_l,1,01-01-2015,Thu,18:25:51,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
113,46,0.333333333,classic_dlx_l,1,01-01-2015,Thu,18:25:51,20.5,20.5,Large,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
114,46,0.333333333,thai_ckn_m,1,01-01-2015,Thu,18:25:51,16.75,16.75,Medium,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
115,47,0.5,southw_ckn_l,1,01-01-2015,Thu,18:26:34,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza
116,47,0.5,veggie_veg_s,1,01-01-2015,Thu,18:26:34,12,12,Regular,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza
117,48,0.25,ckn_pesto_m,1,01-01-2015,Thu,18:26:42,16.75,16.75,Medium,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
118,48,0.25,green_garden_s,1,01-01-2015,Thu,18:26:42,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza
119,48,0.25,prsc_argla_l,1,01-01-2015,Thu,18:26:42,20.75,20.75,Large,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
120,48,0.25,spicy_ital_l,1,01-01-2015,Thu,18:26:42,20.75,20.75,Large,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
121,49,1,sicilian_l,1,01-01-2015,Thu,18:33:00,20.25,20.25,Large,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
122,50,1,the_greek_xl,1,01-01-2015,Thu,18:41:01,25.5,25.5,X-Large,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza
123,51,0.5,bbq_ckn_l,1,01-01-2015,Thu,18:48:28,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
124,51,0.5,pep_msh_pep_l,1,01-01-2015,Thu,18:48:28,17.5,17.5,Large,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
125,52,0.333333333,hawaiian_l,1,01-01-2015,Thu,18:53:02,16.5,16.5,Large,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
126,52,0.333333333,mexicana_l,1,01-01-2015,Thu,18:53:02,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
127,52,0.333333333,spicy_ital_l,1,01-01-2015,Thu,18:53:02,20.75,20.75,Large,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
128,53,0.5,pep_msh_pep_s,1,01-01-2015,Thu,18:54:17,11,11,Regular,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
129,53,0.5,spinach_supr_m,1,01-01-2015,Thu,18:54:17,16.5,16.5,Medium,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza
